BranchCode,BranchName,Instrument,SetCode,Role,Submitted,Total,Status
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Baseline Leader EN,base002,Leader,0,0,MISSING
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Baseline Leader MR,base004,Leader,1,1,OK
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,SRI Audit,SRI001,Leader,0,0,MISSING
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Intent Teacher EN,1234,Teacher,5,5,OK
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Intent Teacher MR,103,Teacher,16,16,OK
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Intent Leader EN,7890,Leader,0,0,MISSING
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Intent Leader MR,104,Leader,1,2,OK
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Baseline Teacher EN,base001,Teacher,8,8,OK
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Baseline Teacher MR,base003,Teacher,13,13,OK
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Baseline Leader EN,base002,Leader,0,0,MISSING
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,Baseline Leader MR,base004,Leader,0,0,MISSING
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UN,SRI Audit,SRI001,Leader,0,0,MISSING
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Intent Teacher EN,1234,Teacher,6,6,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Intent Teacher MR,103,Teacher,35,35,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Intent Leader EN,7890,Leader,2,3,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Intent Leader MR,104,Leader,2,2,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Baseline Teacher EN,base001,Teacher,11,12,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Baseline Teacher MR,base003,Teacher,27,27,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Baseline Leader EN,base002,Leader,1,1,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,Baseline Leader MR,base004,Leader,3,3,OK
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY,SRI Audit,SRI001,Leader,1,1,OK
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Intent Teacher EN,1234,Teacher,0,0,MISSING
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Intent Teacher MR,103,Teacher,11,11,OK
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Intent Leader EN,7890,Leader,0,0,MISSING
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Intent Leader MR,104,Leader,2,2,OK
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Baseline Teacher EN,base001,Teacher,0,0,MISSING
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Baseline Teacher MR,base003,Teacher,11,11,OK
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Baseline Leader EN,base002,Leader,0,0,MISSING
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,Baseline Leader MR,base004,Leader,2,2,OK
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAM,SRI Audit,SRI001,Leader,0,0,MISSING
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Teacher EN,1234,Teacher,1,1,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Teacher MR,103,Teacher,22,22,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Leader EN,7890,Leader,0,1,MISSING
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Leader MR,104,Leader,3,3,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Teacher EN,base001,Teacher,1,1,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Teacher MR,base003,Teacher,21,21,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Leader EN,base002,Leader,0,0,MISSING
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Leader MR,base004,Leader,3,3,OK
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,SRI Audit,SRI001,Leader,2,2,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Teacher EN,1234,Teacher,0,0,MISSING
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Teacher MR,103,Teacher,15,15,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Leader EN,7890,Leader,0,0,MISSING
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Intent Leader MR,104,Leader,2,2,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Teacher EN,base001,Teacher,1,1,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Teacher MR,base003,Teacher,15,15,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Leader EN,base002,Leader,1,1,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,Baseline Leader MR,base004,Leader,1,1,OK
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALA,SRI Audit,SRI001,Leader,1,1,OK
M019,MATRUMANDIR SATARA,Intent Teacher EN,1234,Teacher,0,0,MISSING
M019,MATRUMANDIR SATARA,Intent Teacher MR,103,Teacher,1,1,OK
M019,MATRUMANDIR SATARA,Intent Leader EN,7890,Leader,0,0,MISSING
M019,MATRUMANDIR SATARA,Intent Leader MR,104,Leader,0,0,MISSING
M019,MATRUMANDIR SATARA,Baseline Teacher EN,base001,Teacher,0,0,MISSING
M019,MATRUMANDIR SATARA,Baseline Teacher MR,base003,Teacher,1,1,OK
M019,MATRUMANDIR SATARA,Baseline Leader EN,base002,Leader,0,0,MISSING
M019,MATRUMANDIR SATARA,Baseline Leader MR,base004,Leader,0,0,MISSING
M019,MATRUMANDIR SATARA,SRI Audit,SRI001,Leader,0,0,MISSING
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Intent Teacher EN,1234,Teacher,27,27,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Intent Teacher MR,103,Teacher,6,6,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Intent Leader EN,7890,Leader,2,3,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Intent Leader MR,104,Leader,3,3,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Baseline Teacher EN,base001,Teacher,27,27,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Baseline Teacher MR,base003,Teacher,5,5,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Baseline Leader EN,base002,Leader,1,1,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,Baseline Leader MR,base004,Leader,1,1,OK
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PR,SRI Audit,SRI001,Leader,0,0,MISSING
M021,"NAVIN MARATHI SHALA, SATARA",Intent Teacher EN,1234,Teacher,0,0,MISSING
M021,"NAVIN MARATHI SHALA, SATARA",Intent Teacher MR,103,Teacher,13,13,OK
M021,"NAVIN MARATHI SHALA, SATARA",Intent Leader EN,7890,Leader,0,1,MISSING
M021,"NAVIN MARATHI SHALA, SATARA",Intent Leader MR,104,Leader,2,2,OK
M021,"NAVIN MARATHI SHALA, SATARA",Baseline Teacher EN,base001,Teacher,4,4,OK
M021,"NAVIN MARATHI SHALA, SATARA",Baseline Teacher MR,base003,Teacher,9,9,OK
M021,"NAVIN MARATHI SHALA, SATARA",Baseline Leader EN,base002,Leader,0,0,MISSING
M021,"NAVIN MARATHI SHALA, SATARA",Baseline Leader MR,base004,Leader,2,2,OK
M021,"NAVIN MARATHI SHALA, SATARA",SRI Audit,SRI001,Leader,2,2,OK
M022,"NAVIN MARATHI SHALA,PUNE",Intent Teacher EN,1234,Teacher,0,0,MISSING
M022,"NAVIN MARATHI SHALA,PUNE",Intent Teacher MR,103,Teacher,22,22,OK
M022,"NAVIN MARATHI SHALA,PUNE",Intent Leader EN,7890,Leader,0,1,MISSING
M022,"NAVIN MARATHI SHALA,PUNE",Intent Leader MR,104,Leader,1,1,OK
M022,"NAVIN MARATHI SHALA,PUNE",Baseline Teacher EN,base001,Teacher,1,1,OK
M022,"NAVIN MARATHI SHALA,PUNE",Baseline Teacher MR,base003,Teacher,22,22,OK
M022,"NAVIN MARATHI SHALA,PUNE",Baseline Leader EN,base002,Leader,1,1,OK
M022,"NAVIN MARATHI SHALA,PUNE",Baseline Leader MR,base004,Leader,1,1,OK
M022,"NAVIN MARATHI SHALA,PUNE",SRI Audit,SRI001,Leader,1,1,OK
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY U,Intent Teacher EN,1234,Teacher,3,3,OK
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY U,Intent Teacher MR,103,Teacher,2,3,OK
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY U,Intent Leader EN,7890,Leader,1,1,OK
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY U,Intent Leader MR,104,Leader,2,2,OK
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY U,Baseline Teacher EN,base001,Teacher,7,7,OK
